cemetery_id,cemetery_name,lat,lon,cemetery_state,cemetery_city,cemetery_country,cemetery_county
10978,Center Cemetery,41.3861084,-72.86556244,Connecticut,North Haven,United States,
11533,West Side Cemetery,41.34860992,-72.65499878,Connecticut,Madison,United States,
18471,Lewisville Cemetery,43.68333054,-112.0283279,Idaho,Lewisville,United States,
18635,View Cemetery,42.44361451,-113.6570997,Idaho,Burley,United States,
24885,Union Cemetery,41.57971954,-89.27971649,Illinois,La Moille,United States,
33266,Belknap Cemetery,41.29249954,-95.44249725,Iowa,Oakland,United States,
33343,Booneville Cemetery,41.52944183,-93.88443756,Iowa,Waukee,United States,
34669,Oaklawn Cemetery,41.32611084,-95.38194275,Iowa,Oakland,United States,
43167,Taylor Cemetery,37.12277985,-86.48332977,Kentucky,Bowling Green,United States,
48687,Bridge Street Cemetery,42.32500076,-72.6277771,Massachusetts,Northampton,United States,
49332,Groton Cemetery,42.62194061,-71.56667328,Massachusetts,Groton,United States,
58914,Yellow Leaf Cemetery,34.30556107,-89.47055817,Mississippi,Oxford,United States,
62223,Iantha Cemetery,37.52500153,-94.40499878,Missouri,Lamar,United States,
62651,Memorial Park Cemetery,38.9805603,-94.51444244,Missouri,Kansas City,United States,
68860,Bluewater Cemetery,35.24306107,-107.9686127,New Mexico,Bluewater,United States,
70816,Owasco Rural Cemetery,42.84972,-76.44972229,New York,Skaneateles,United States,
78777,Sugar Grove Cemetery,39.76694107,-84.53193665,Ohio,West Alexandria,United States,
98532,Rocky Valley Cemetery,36.06027985,-83.53333282,Tennessee,New Market,United States,
100086,Harrison Cemetery,35.50638962,-86.58222198,Tennessee,Shelbyville,United States,
100420,Broyles Cemetery,36.21278,-82.60111237,Tennessee,Limestone,United States,
100471,Mauk Cemetery,36.16027832,-82.58528137,Tennessee,Limestone,United States,
105571,Mahomet Cemetery,30.81555939,-97.93332672,Texas,Bertram,United States,
107577,Woodruff Cemetery,41.5541687,-111.1763916,Utah,Randolph,United States,
107637,Midway City Cemetery,40.50278091,-111.4861069,Utah,Midway,United States,
107640,Moroni City Cemetery,39.54111099,-111.5924988,Utah,Mt Pleasant,United States,
107641,Mount Carmel Cemetery,37.24750137,-112.667778,Utah,Orderville,United States,
107661,Sandy City Cemetery,40.58666992,-111.8722229,Utah,Sandy,United States,
107676,Tooele City Cemetery,40.52249908,-112.2941666,Utah,Tooele,United States,
107697,Glendale City Cemetery,37.31861115,-112.5908279,Utah,Glendale,United States,
107729,Elysian Burial Gardens,40.67139053,-111.8580627,Utah,Millcreek,United States,
107746,Logan Cemetery,41.7491684,-111.8061066,Utah,Logan,United States,
107757,Orem Cemetery,40.32249832,-111.6730576,Utah,Orem,United States,
107759,Peoa Cemetery,40.73110962,-111.3450012,Utah,Peoa,United States,
107762,Pioneer Cemetery,39.38943863,-111.5827789,Utah,Ephraim,United States,
107776,Wasatch Lawn Memorial Park,40.69778061,-111.8416672,Utah,East Millcreek,United States,
107788,Bountiful Memorial Park,40.86777878,-111.8861084,Utah,Bountiful,United States,
107789,Brigham City Cemetery,41.50278091,-112.007782,Utah,Brigham City,United States,
107805,Hyrum City Cemetery,41.63499832,-111.8391724,Utah,Hyrum,United States,
107814,Lewiston City Cemetery,41.97694016,-111.8302765,Utah,Lewiston,United States,
107819,Millville City Cemetery,41.68305969,-111.8144379,Utah,Millville,United States,
107821,Monroe City Cemetery,38.6427803,-112.1113892,Utah,Monroe,United States,
107826,Ogden City Cemetery,41.23249817,-111.9622192,Utah,Ogden,United States,
107828,Paradise Cemetery,41.56999969,-111.8230591,Utah,Paradise,United States,
107831,Payson City Cemetery,40.04999924,-111.7180634,Utah,Payson,United States,
107838,Provo City Cemetery,40.22499847,-111.6444397,Utah,Provo,United States,
107843,Salt Lake City Cemetery,40.77840784,-111.85817,Utah,Salt Lake City,United States,
107844,Santaquin City Cemetery,39.97000122,-111.7819366,Utah,Santaquin,United States,
107847,Smithfield City Cemetery,41.83555984,-111.8216705,Utah,Smithfield,United States,
107849,Springville City Cemetery,40.15894711,-111.6149511,Utah,Springville,United States,
108290,Maple Hill Cemetery,43.25167084,-73.09388733,Vermont,Dorset,United States,
116729,Cowley Cemetery,44.87664,-108.453571,Wyoming,Lovell,United States,Big Horn
116774,Lovell Cemetery,44.80971909,-108.3877792,Wyoming,Lovell,United States,
116800,Plainview Cemetery,42.87361145,-109.8541718,Wyoming,Pinedale,United States,
116842,Fairview Cemetery,42.68193817,-110.9875031,Wyoming,Fairview,United States,
118363,Second Creek Cemetery,35.02333069,-87.33666992,Tennessee,Five Points,United States,
121372,Straight Creek Baptist Cemetery,38.93167114,-83.81944275,Ohio,Sardinia,United States,
123285,Antioch Cemetery,39.75138855,-90.10250092,Illinois,Jacksonville,United States,
141337,Old Burying Ground,42.37443924,-71.12000275,Massachusetts,Cambridge,United States,
148252,The Burying Point,42.520732,-70.89207047,Massachusetts,Salem,United States,Essex
148413,Parker Cemetery,43.9638425,-111.7606745,Idaho,St Anthony,United States,Fremont
148820,Grants Memorial Park Cemetery,35.160531,-107.836526,New Mexico,Grants,United States,Cibola
148832,Sunny Slope Cemetery,34.539047,-108.340516,New Mexico,Quemado,United States,Catron
158833,Providence City Cemetery,41.726458,-111.811623,Utah,River Heights,United States,Cache
